real_time,function_type,matrix_size
0.002,bla_c,100
0.001,bla_c,100
0.001,bla_c,100
0.001,bla_c,100
0.001,bla_c,100
0.001,bla_c,100
0.001,bla_c,100
0.001,bla_c,100
0.001,bla_c,100
0.001,bla_c,100
0.004,nai_c,100
0.004,bet_c,100
0.004,nai_c,100
0.004,bet_c,100
0.004,nai_c,100
0.004,bet_c,100
0.004,nai_c,100
0.004,bet_c,100
0.004,nai_c,100
0.003,bet_c,100
0.004,nai_c,100
0.004,bet_c,100
0.004,nai_c,100
0.003,bet_c,100
0.004,nai_c,100
0.004,bet_c,100
0.004,nai_c,100
0.003,bet_c,100
0.004,nai_c,100
0.003,bet_c,100
0.005,bla_c,200
0.004,bla_c,200
0.004,bla_c,200
0.005,bla_c,200
0.004,bla_c,200
0.004,bla_c,200
0.005,bla_c,200
0.005,bla_c,200
0.004,bla_c,200
0.004,bla_c,200
0.033,nai_c,200
0.028,bet_c,200
0.034,nai_c,200
0.028,bet_c,200
0.033,nai_c,200
0.027,bet_c,200
0.032,nai_c,200
0.027,bet_c,200
0.032,nai_c,200
0.027,bet_c,200
0.032,nai_c,200
0.027,bet_c,200
0.032,nai_c,200
0.026,bet_c,200
0.032,nai_c,200
0.027,bet_c,200
0.032,nai_c,200
0.027,bet_c,200
0.032,nai_c,200
0.027,bet_c,200
0.015,bla_c,300
0.015,bla_c,300
0.015,bla_c,300
0.014,bla_c,300
0.015,bla_c,300
0.014,bla_c,300
0.015,bla_c,300
0.015,bla_c,300
0.015,bla_c,300
0.015,bla_c,300
0.113,nai_c,300
0.090,bet_c,300
0.113,nai_c,300
0.090,bet_c,300
0.113,nai_c,300
0.090,bet_c,300
0.113,nai_c,300
0.089,bet_c,300
0.113,nai_c,300
0.090,bet_c,300
0.113,nai_c,300
0.090,bet_c,300
0.113,nai_c,300
0.090,bet_c,300
0.113,nai_c,300
0.090,bet_c,300
0.113,nai_c,300
0.090,bet_c,300
0.112,nai_c,300
0.091,bet_c,300
0.035,bla_c,400
0.035,bla_c,400
0.035,bla_c,400
0.035,bla_c,400
0.035,bla_c,400
0.035,bla_c,400
0.035,bla_c,400
0.035,bla_c,400
0.035,bla_c,400
0.035,bla_c,400
0.276,nai_c,400
0.211,bet_c,400
0.276,nai_c,400
0.211,bet_c,400
0.277,nai_c,400
0.211,bet_c,400
0.276,nai_c,400
0.211,bet_c,400
0.277,nai_c,400
0.211,bet_c,400
0.276,nai_c,400
0.211,bet_c,400
0.277,nai_c,400
0.211,bet_c,400
0.276,nai_c,400
0.211,bet_c,400
0.277,nai_c,400
0.211,bet_c,400
0.276,nai_c,400
0.211,bet_c,400
0.068,bla_c,500
0.068,bla_c,500
0.068,bla_c,500
0.068,bla_c,500
0.068,bla_c,500
0.068,bla_c,500
0.068,bla_c,500
0.068,bla_c,500
0.068,bla_c,500
0.068,bla_c,500
0.568,nai_c,500
0.417,bet_c,500
0.621,nai_c,500
0.420,bet_c,500
0.567,nai_c,500
0.433,bet_c,500
0.600,nai_c,500
0.411,bet_c,500
0.568,nai_c,500
0.411,bet_c,500
0.566,nai_c,500
0.410,bet_c,500
0.620,nai_c,500
0.525,bet_c,500
0.773,nai_c,500
0.565,bet_c,500
0.782,nai_c,500
0.573,bet_c,500
0.789,nai_c,500
0.606,bet_c,500
0.191,bla_c,600
0.179,bla_c,600
0.178,bla_c,600
0.183,bla_c,600
0.180,bla_c,600
0.179,bla_c,600
0.212,bla_c,600
0.223,bla_c,600
0.254,bla_c,600
0.267,bla_c,600
1.925,nai_c,600
1.006,bet_c,600
1.388,nai_c,600
0.974,bet_c,600
1.393,nai_c,600
0.985,bet_c,600
1.406,nai_c,600
0.989,bet_c,600
1.407,nai_c,600
0.975,bet_c,600
1.398,nai_c,600
0.994,bet_c,600
1.391,nai_c,600
0.976,bet_c,600
1.388,nai_c,600
0.985,bet_c,600
1.393,nai_c,600
0.974,bet_c,600
1.389,nai_c,600
0.974,bet_c,600
0.259,bla_c,700
0.264,bla_c,700
0.270,bla_c,700
0.273,bla_c,700
0.270,bla_c,700
0.277,bla_c,700
0.283,bla_c,700
0.280,bla_c,700
0.273,bla_c,700
0.279,bla_c,700
2.257,nai_c,700
1.550,bet_c,700
